  Jul.Day  S1(up) S1(up) S(dw) net_rad lnet lout lin
  173.583   549.6   549.6   496.2  -21.7  -75.1 -251.8  176.7
  173.625   647.4   647.4   584.2  -14.7  -77.9 -256.6  178.7
  173.667   662.4   662.4   594.2  -10.8  -79.0 -261.8  182.9
  173.708   620.2   620.2   557.2  -12.3  -75.3 -266.0  190.7
  173.750   629.6   629.6   568.4  -14.9  -76.1 -269.2  193.1
  173.792   645.6   645.6   583.4  -15.6  -77.8 -271.1  193.2
  173.833   568.4   568.4   513.8  -17.6  -72.2 -271.1  198.9
  173.875   463.6   463.6   421.0  -20.8  -63.4 -269.8  206.4
  173.917   485.8   485.8   441.4  -12.3  -56.7 -268.2  211.5
  173.958   382.0   382.0   351.6  -28.3  -58.7 -266.0  207.3
  174.000   320.2   320.2   297.2  -27.7  -50.7 -262.1  211.3
  174.042   117.2   117.2   239.4  -27.8   94.4 -257.7  352.1
  174.083   190.6   190.6   198.6  -30.5  -22.5 -250.0  227.5
  174.125    32.0    32.0   169.2 -160.2  -23.0 -241.3  218.3
  174.167    40.4    40.4   150.2  -35.8   74.0 -236.9  310.9
  174.208   137.0   137.0   149.0  -46.6  -34.6 -235.0  200.4
  174.250   184.2   184.2   167.6  -92.7 -109.3 -233.6  124.3
  174.292   215.0   215.0   195.2 -156.1 -175.9 -234.6   58.7
  174.333   258.2   258.2   234.0  -64.4  -88.6 -237.5  148.9
  174.375   312.6   312.6   288.0  -38.2  -62.8 -242.7  179.9
  174.417   300.8   300.8   277.2   -5.4  -29.0 -250.1  221.0
  174.458   339.4   339.4   310.4     .7  -28.3 -262.2  233.9
  174.500   374.2   374.2   345.0    4.9  -24.3 -265.6  241.2
  174.542   494.6   494.6   455.4    5.0  -34.2 -269.3  235.0
  174.583   481.8   481.8   444.2    2.4  -35.2 -270.0  234.8
