"JD" "wind mean" "wind max" "t air"
324.03 7.29 8.31 -13.492
324.06 7.41 8.62 -12.093
324.09 8.22 9.73 -15.181
324.12 6.091 7.91 -15.774
324.15 2.64 4.611 -16.467
324.18 1.712 3.303 -17.278
324.21 2.869 4.091 -18
325 6.255 9.42 -22.437
325.03 12.48 14.66 -21.33
325.06 13.95 14.9 -22.63
325.09 12.57 13.49 -23.549
325.12 10.58 10.99 -23.737
325.15 9.6 10.97 -23.349
325.18 8.48 10.02 -24.849
325.21 7.67 8.51 -24.919
326 7.19 7.64 -24.779
326.03 6.799 7.39 -25.92
326.06 6.859 7.21 -26.844
326.09 7.03 7.65 -27.267
326.12 7.07 7.82 -26.272
326.15 7.35 8.42 -23.732
326.18 5.708 7.62 -28.012
326.21 6.137 6.948 -27.439
327 8.16 9.52 -23.931
327.03 8.65 9.38 -22.573
327.06 8.88 9.43 -22.556
327.09 9.12 10.18 -23.541
327.12 5.798 8.86 -22.093
327.15 4.001 4.626 -20.255
327.18 4.721 5.511 -20.799
327.21 4.887 6.351 -23.652
328 5.283 5.864 -26.654
328.03 6.555 7.36 -27.695
328.06 6.615 7.65 -30.126
328.09 6.841 7.9 -28.246
328.12 7.41 7.94 -27.466
328.15 6.649 7.36 -31.336
328.18 8.67 9.32 -32.531
328.21 8.86 9.3 -33.607
329 9.52 9.84 -35.301
329.03 9.72 9.91 -35.996
329.06 9.15 10.19 -35.368
329.09 9.31 9.84 -35.465
329.12 10.2 10.74 -35.398
329.15 10.58 11.32 -35.659
329.18 11.15 11.43 -35.636
329.21 10.77 11.53 -38.287
330 11.42 12.09 -38.132
330.03 10.94 12 -38.253
330.06 10.49 11.24 -37.845
330.09 11.01 11.39 -36.537
330.12 10.34 11.16 -32.873
330.15 10.51 12.66 -28.983
330.18 10.62 11.66 -29.789
330.21 10.03 11.76 -31.014
331 9.35 9.93 -33.409
331.03 8.9 9.43 -32.845
331.06 8.81 10.16 -35.929
331.09 9.52 10.4 -35.833
331.12 8.27 9.22 -36.313
331.15 7.61 8.22 -36.471
331.18 8 8.91 -37.305
331.21 8.4 9.37 -37.434
332 8.98 9.63 -37.88
332.03 9.58 10.17 -37.013
332.06 9.35 9.72 -35.683
332.09 8.98 9.8 -38.741
332.12 9.15 9.95 -38.268
332.15 7.94 8.94 -37.816
332.18 8.63 9.21 -37.989
332.21 7.48 8.39 -34.957
333 7.68 8.42 -33.44
333.03 8.08 8.33 -33.509
333.06 8.07 9.12 -36.025
333.09 8.97 9.97 -35.793
333.12 9.27 9.71 -36.068
333.15 9.52 10.49 -37.305
333.18 9.29 10.43 -37.903
333.21 10.25 10.78 -38.587
334 10.91 11.72 -39.123
334.03 10.97 12.11 -37.486
334.06 10.51 11.85 -37.137
334.09 8.11 9.73 -34.406
334.12 7.81 8.65 -31.965
334.15 8.14 8.7 -34.828
334.18 9.49 10.14 -35.25
334.21 10.66 11.58 -34.889
335 11.52 12.43 -34.221
335.03 11.78 12.57 -33.735
335.06 12.34 13.14 -33.416
335.09 12.48 14.71 -32.542
335.12 12.77 14.13 -31.94
335.15 12.41 13.95 -33.555
335.18 12.55 13.77 -30.256
335.21 13.75 16.59 -24.409
336 15.46 17.37 -23.4
336.03 17.39 18.21 -22.195
336.06 17.96 18.39 -21.848
336.09 17.26 18.42 -19.91
336.12 16.46 17.34 -17.064
336.15 13.71 16.41 -12.392
336.18 15.73 19.3 -12.723
336.21 16.35 20.62 -11.236
337 16.69 18.93 -9.405
337.03 18.49 19.12 -8.934
337.06 16.2 18.06 -8.958
337.09 12.02 16.98 -7.768
337.12 9.03 14.06 -7.966
337.15 13.77 16.83 -12.428
337.18 9.58 12.67 -14.049
337.21 8.86 9.43 -16.068
338 10.15 10.83 -18.322
338.03 10.89 13.58 -19.624
338.06 13.05 13.99 -21.011
338.09 13 14.43 -20.184
338.12 14.11 15.49 -17.231
338.15 13.22 15.25 -14.746
338.18 12.01 14.07 -10.861
338.21 10.79 11.37 -9.312
339 10.14 11.36 -7.039
339.03 11.55 13.4 -4.285
339.06 15.8 19.09 -3.085
339.09 17.62 22.98 -4.148
339.12 13.34 14.9 -4.007
339.15 11.9 12.8 -3.345
339.18 17.29 31.04 -2.317
339.21 22.92 25.69 -3.552
340 20.34 21.24 -3.637
340.03 16.94 21.01 -4.984
340.06 16.3 17.14 -4.235
340.09 13.34 15.22 -4.874
340.12 20.29 23.77 -9.1
340.15 19.95 21.98 -10.187
340.18 20.05 21.36 -9.753
340.21 17.4 19.17 -9.614
341 16.24 17.57 -9.311
341.03 17.56 18.53 -10.503
341.06 16.66 18.62 -10.947
341.09 15.19 18.37 -10.814
341.12 9.37 11.35 -16.833
341.15 11.45 13.48 -18.167
341.18 9.16 10.94 -16.408
341.21 7.86 9.06 -14.871
342 8.68 10.26 -15.46
342.03 7.69 9.5 -17.048
342.06 8.81 9.95 -19.49
342.09 10.9 11.57 -19.475
342.12 11.24 12.87 -21.266
342.15 13.33 13.96 -21.601
342.18 12.63 13.9 -22.071
342.21 13.63 14.86 -24.634
343 14.18 15.89 -24.413
343.03 13.46 14.58 -23.477
343.06 12.15 13.52 -24.204
343.09 10.12 11.28 -24.175
343.12 6.343 8.81 -24.82
343.15 4.648 5.479 -25.767
343.18 5.421 6.491 -21.687
343.21 7.22 7.88 -21.294
344 7.28 10.87 -26.012
344.03 10.13 11.43 -26.028
344.06 10.62 12.25 -25.292
344.09 12.84 13.9 -21.461
344.12 13.7 14.86 -17.874
